Time,Size,Label
0.015439033508300781,11590,5
0.0839390754699707,692,0
0.09269332885742188,5573,3
0.12249040603637695,692,0
0.12400627136230469,6325,3
0.15308427810668945,692,0
0.22148609161376953,6325,3
0.22671747207641602,692,0
0.2674717903137207,692,0
0.3122372627258301,692,0
0.40202856063842773,692,0
0.47136807441711426,692,0
0.5306603908538818,6901,3
0.5623507499694824,692,0
0.6048645973205566,692,0
0.6051757335662842,8405,3
0.6742703914642334,692,0
0.7217252254486084,692,0
0.7516674995422363,6901,3
0.7656795978546143,930,7
0.7997639179229736,986,7
0.8302407264709473,692,0
0.8374929428100586,5957,3
0.8600349426269531,692,0
0.8750860691070557,692,0
0.8899855613708496,3550,7
0.9114782810211182,692,0
0.9152822494506836,7249,3
0.9371814727783203,692,0
0.9783196449279785,5013,7
0.9886155128479004,692,0
1.0344250202178955,6149,3
1.067305326461792,1423,7
1.096743106842041,8405,3
1.1723525524139404,692,0
1.1764483451843262,14422,5
1.2084088325500488,2949,7
1.28818678855896,645,7
1.3441014289855957,264,7
1.3527979850769043,47663,5
1.605926513671875,11782,5
1.6795392036437988,8405,3
1.708014726638794,6901,3
1.7859082221984863,5205,3
1.9457130432128906,7829,3
1.9816572666168213,12726,5
2.041245698928833,45254,5
2.155928373336792,692,0
2.1879918575286865,692,0
2.2806458473205566,5772,3
2.354466676712036,692,0
2.3756344318389893,6517,3
2.437150716781616,692,0
2.4745829105377197,7245,3
2.4904892444610596,692,0
2.5102720260620117,8021,3
2.519747734069824,868,7
2.575356960296631,7077,3
2.5805397033691406,692,0
2.631115198135376,5789,3
2.666696786880493,692,0
2.720111608505249,692,0
2.750643014907837,692,0
2.8135972023010254,8581,3
2.8217458724975586,692,0
2.8365495204925537,692,0
2.904263734817505,692,0
2.953209161758423,7461,3
2.953754186630249,692,0
2.969111919403076,692,0
3.039820671081543,692,0
3.0668399333953857,7077,3
3.103231430053711,7077,3
3.1190571784973145,692,0
3.1638691425323486,692,0
3.1728904247283936,8965,3
3.2183382511138916,692,0
3.219588041305542,692,0
3.2443840503692627,6517,3
3.252326726913452,692,0
3.321983575820923,8965,3
3.3431403636932373,692,0
3.3696889877319336,692,0
3.4490888118743896,692,0
3.453848123550415,692,0
3.4992856979370117,692,0
3.5136523246765137,8965,3
3.5153706073760986,9333,5
3.540151357650757,692,0
3.6253252029418945,692,0
3.651672840118408,10838,5
3.6753666400909424,692,0
3.7264249324798584,692,0
3.8025243282318115,692,0
3.8644914627075195,692,0
3.8977673053741455,349,7
3.9068596363067627,692,0
3.976057291030884,4453,7
3.9843294620513916,692,0
4.021955728530884,13078,5
4.048177003860474,692,0
4.048728942871094,692,0
4.078568458557129,692,0
4.0876007080078125,11414,5
4.088593006134033,194,7
4.1082923412323,4261,7
4.138633489608765,692,0
4.173649311065674,692,0
4.181597709655762,692,0
4.24883246421814,692,0
4.257805347442627,9717,5
4.323549509048462,692,0
4.363544940948486,692,0
4.401155948638916,11974,5
4.436796426773071,17238,5
4.44772481918335,692,0
4.533883333206177,692,0
4.557697057723999,3577,7
4.627835035324097,692,0
4.6790077686309814,692,0
4.6867311000823975,692,0
4.722523927688599,9909,5
4.753341913223267,692,0
4.770079851150513,692,0
4.789679050445557,9333,5
4.84948205947876,692,0
4.919647216796875,5013,7
4.93637490272522,692,0
4.983331680297852,692,0
5.072812795639038,692,0
5.0834174156188965,692,0
5.177555561065674,692,0
5.26442551612854,692,0
5.2736594676971436,692,0
5.284142971038818,692,0
5.301268577575684,692,0
5.302696466445923,692,0
5.34230637550354,692,0
5.376882314682007,4453,7
5.38149619102478,2197,7
5.470715522766113,3893,7
5.718562602996826,3581,7
5.741131067276001,50266,5
5.788861036300659,4261,7
5.881819009780884,4821,7
5.944746017456055,10278,5
6.2374818325042725,2565,7
6.3092968463897705,692,0
6.321308612823486,692,0
6.372178316116333,692,0
6.4439637660980225,692,0
6.469989061355591,692,0
6.5390472412109375,692,0
6.619736194610596,692,0
6.687529563903809,692,0
6.694750070571899,692,0
6.759786128997803,692,0
6.796342134475708,692,0
6.829368591308594,692,0
6.848375558853149,692,0
6.945307493209839,692,0
6.999865531921387,692,0
7.063356876373291,692,0
7.106005430221558,692,0
7.119004011154175,692,0
7.153646945953369,692,0
7.227646827697754,692,0
7.321589708328247,692,0
7.3492066860198975,692,0
7.404284238815308,692,0
7.465187311172485,692,0
7.530147314071655,692,0
7.618983507156372,692,0
7.655885457992554,692,0
7.666175842285156,461,7
7.679229736328125,6325,3
7.718537092208862,6149,3
7.726503372192383,692,0
7.728745937347412,197,7
7.732966899871826,692,0
7.810973644256592,692,0
7.87746524810791,692,0
7.884048938751221,692,0
7.90850305557251,692,0
7.988937139511108,692,0
8.048161029815674,692,0
8.092257738113403,692,0
8.179661750793457,692,0
8.234218835830688,692,0
8.240192174911499,50695,5
8.286953926086426,692,0
8.322923183441162,7829,3
8.366626739501953,17606,5
8.367870330810547,692,0
8.409631729125977,692,0
8.438260078430176,692,0
8.47865891456604,692,0
8.514936208724976,6901,3
8.517997980117798,692,0
8.546493291854858,19686,5
8.550093650817871,692,0
8.561074256896973,692,0
8.604851245880127,7077,3
8.615397453308105,12918,5
8.672741651535034,692,0
8.693259954452515,6901,3
8.695705890655518,10085,5
8.724987506866455,6901,3
8.740206241607666,692,0
8.762083768844604,5205,3
8.817073345184326,692,0
8.857334613800049,13478,5
8.885203838348389,7829,3
8.88642930984497,692,0
8.930718660354614,692,0
8.986686706542969,2565,7
9.022672176361084,692,0
9.033390283584595,8405,3
9.096864938735962,6149,3
9.10809850692749,692,0
9.143815994262695,7653,3
9.162773847579956,692,0
9.226507663726807,6901,3
9.2588529586792,692,0
9.277889728546143,9717,5
9.280068159103394,692,0
9.349409818649292,692,0
9.376267671585083,1140,7
9.390493392944336,9157,3
9.42057490348816,692,0
